"TechnologyArea","Name","IPAddress","MACAddress","Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","IA Controls","Check Content","Fix Text","False Positives","False Negatives","Documentable","Mitigations","Potential Impact","Third Party Tools","Mitigation Control","Responsibility","Severity Override Guidance","Check Content Reference","Classification","STIG","Status","Comments","Finding Details","Severity Override","Severity Override Justification","CCI","Fully Qualified Domain Name","NIST SP 800-53 Revision 4 References","Legacy",
"","","","","V-220697","medium","SRG-OS-000480-GPOS-00227","SV-220697r569187_rule","WN10-00-000005","Domain-joined systems must use Windows 10 Enterprise Edition 64-bit version.","Features such as Credential Guard use virtualization based security to protect information that could be used in credential theft attacks if compromised. There are a number of system requirements that must be met in order for Credential Guard to be configured and enabled properly. Virtualization based security and Credential Guard are only available with Windows 10 Enterprise 64-bit version.","","","Use Windows 10 Enterprise 64-bit version for domain-joined systems.","","","false","","","","","","","oval:mil.disa.stig.windows:def:15","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not A Finding","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-63319; SV-77809",
"","","","","V-220702","medium","SRG-OS-000185-GPOS-00079","SV-220702r569228_rule","WN10-00-000030","Windows 10 information systems must use BitLocker to encrypt all disks to protect the confidentiality and integrity of all information at rest.","If data at rest is unencrypted, it is vulnerable to disclosure. Even if the operating system enforces permissions on data access, an adversary can remove non-volatile memory and read it directly, thereby circumventing operating system controls. Encrypting the data ensures that confidentiality is protected even when the operating system is not running.","","","Enable full disk encryption on all information systems (including SIPRNet) using BitLocker.

BitLocker, included in Windows, can be enabled in the Control Panel under ""BitLocker Drive Encryption"" as well as other management tools.

NOTE: An alternate encryption application may be used in lieu of BitLocker providing it is configured for full disk encryption and satisfies the pre-boot authentication requirements (WN10-00-000031 and WN10-00-000032).","","","false","","","","","","","oval:mil.disa.stig.windows:def:177","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-001199
The information system protects the confidentiality and/or integrity of organization-defined information at rest.
NIST SP 800-53 :: SC-28
NIST SP 800-53A :: SC-28.1
NIST SP 800-53 Revision 4 :: SC-28

CCI-002475
The information system implements cryptographic mechanisms to prevent unauthorized modification of organization-defined information at rest on organization-defined information system components.
NIST SP 800-53 Revision 4 :: SC-28 (1)

CCI-002476
The information system implements cryptographic mechanisms to prevent unauthorized disclosure of organization-defined information at rest on organization-defined information system components.
NIST SP 800-53 Revision 4 :: SC-28 (1)

","","SC-28;SC-28 (1)","V-63337; SV-77827",
"","","","","V-220706","high","SRG-OS-000480-GPOS-00227","SV-220706r569217_rule","WN10-00-000040","Windows 10 systems must be maintained at a supported servicing level.","Windows 10 is maintained by Microsoft at servicing levels for specific periods of time to support Windows as a Service. Systems at unsupported servicing levels or releases will not receive security updates for new vulnerabilities which leaves them subject to exploitation.

New versions with feature updates are planned to be released on a semi-annual basis with an estimated support timeframe of 18 to 30 months depending on the release. Support for previously released versions has been extended for Enterprise editions.

A separate servicing branch intended for special purpose systems is the Long-Term Servicing Channel (LTSC, formerly Branch - LTSB) which will receive security updates for 10 years but excludes feature updates.","","","Update systems on the Semi-Annual Channel to ""Microsoft Windows Version 1803 (OS Build 17134.0)"" or greater.

It is recommended systems be upgraded to the most recently released version.

Special purpose systems using the Long-Term Servicing Branch\Channel (LTSC\B) may be at the following versions:

v1507 (Build 10240)
v1607 (Build 14393)
v1809 (Build 17763)","","","false","","","","","","","oval:mil.disa.stig.windows:def:109","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not Applicable","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-63349; SV-77839",
"","","","","V-220708","high","SRG-OS-000080-GPOS-00048","SV-220708r569187_rule","WN10-00-000050","Local volumes must be formatted using NTFS.","The ability to set access permissions and auditing is critical to maintaining the security and proper access controls of a system.  To support this, volumes must be formatted using the NTFS file system.","","","Format all local volumes to use NTFS.","","","false","","","","","","","oval:mil.disa.stig.windows:def:30","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not Applicable","","","","","CCI-000213
The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
NIST SP 800-53 :: AC-3
NIST SP 800-53A :: AC-3.1
NIST SP 800-53 Revision 4 :: AC-3

","","AC-3","V-63353; SV-77843",
"","","","","V-220716","medium","SRG-OS-000076-GPOS-00044","SV-220716r569187_rule","WN10-00-000090","Accounts must be configured to require password expiration.","Passwords that do not expire increase exposure with a greater probability of being discovered or cracked.","","","Configure all passwords to expire.
Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Users.
Double click each active account.
Ensure ""Password never expires"" is not checked on all active accounts.","","","false","","","","","","","oval:mil.disa.stig.windows:def:77","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","Ikke best practice","","","CCI-000199
The information system enforces maximum password lifetime restrictions.
NIST SP 800-53 :: IA-5 (1) (d)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (d)

","","IA-5 (1) (d)","V-63371; SV-77861",
"","","","","V-220718","high","SRG-OS-000095-GPOS-00049","SV-220718r569187_rule","WN10-00-000100","Internet Information System (IIS) or its subcomponents must not be installed on a workstation.","Installation of Internet Information System (IIS) may allow unauthorized internet services to be hosted.  Websites must only be hosted on servers that have been designed for that purpose and can be adequately secured.","","","Uninstall ""Internet Information Services"" or ""Internet Information Services Hostable Web Core"" from the system.","","","false","","","","","","","oval:mil.disa.stig.windows:def:35","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-63377; SV-77867",
"","","","","V-220719","medium","SRG-OS-000096-GPOS-00050","SV-220719r569187_rule","WN10-00-000105","Simple Network Management Protocol (SNMP) must not be installed on the system.","Some protocols and services do not support required security features, such as encrypting passwords or traffic.","","","Uninstall ""Simple Network Management Protocol (SNMP)"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".
De-select ""Simple Network Management Protocol (SNMP)"".","","","false","","","","","","","oval:mil.disa.stig.windows:def:55","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not Applicable","Uvisst hva hdo bruker til monitorering","","","","CCI-000382
The organization configures the information system to prohibit or restrict the use of organization defined functions, ports, protocols, and/or services.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (iii)
NIST SP 800-53 Revision 4 :: CM-7 b

","","CM-7 b","V-63381; SV-77871",
"","","","","V-220720","medium","SRG-OS-000095-GPOS-00049","SV-220720r569187_rule","WN10-00-000110","Simple TCP/IP Services must not be installed on the system.","Some protocols and services do not support required security features, such as encrypting passwords or traffic.","","","Uninstall ""Simple TCPIP Services (i.e. echo, daytime etc)"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".
De-select ""Simple TCPIP Services (i.e. echo, daytime etc)"".","","","false","","","","","","","oval:mil.disa.stig.windows:def:56","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-63383; SV-77873",
"","","","","V-220721","medium","SRG-OS-000096-GPOS-00050","SV-220721r569187_rule","WN10-00-000115","The Telnet Client must not be installed on the system.","Some protocols and services do not support required security features, such as encrypting passwords or traffic.","","","Uninstall ""Telnet Client"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".

De-select ""Telnet Client"".","","","false","","","","","","","oval:mil.disa.fso.windows:def:3889","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000382
The organization configures the information system to prohibit or restrict the use of organization defined functions, ports, protocols, and/or services.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (iii)
NIST SP 800-53 Revision 4 :: CM-7 b

","","CM-7 b","V-63385; SV-77875",
"","","","","V-220722","medium","SRG-OS-000096-GPOS-00050","SV-220722r569187_rule","WN10-00-000120","The TFTP Client must not be installed on the system.","Some protocols and services do not support required security features, such as encrypting passwords or traffic.","","","Uninstall ""TFTP Client"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".

De-select ""TFTP Client"".","","","false","","","","","","","oval:mil.disa.fso.windows:def:3887","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000382
The organization configures the information system to prohibit or restrict the use of organization defined functions, ports, protocols, and/or services.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (iii)
NIST SP 800-53 Revision 4 :: CM-7 b

","","CM-7 b","V-63389; SV-77879",
